cast_id,platform,year,month,obs_date,lat,lon,model_grid_lat,model_grid_lon,model_grid_distance_km,obs_ohc_j_m2,obs_tchp_kj_cm2,obs_d26_m,model_ohc_j_m2,model_tchp_kj_cm2,model_d26_m,delta_ohc_j_m2,delta_tchp_kj_cm2
aoml/4903553/profiles/D4903553_057.nc,4903553,2024,3,20240317,23.25,-82.897,23.25398063659668,-82.8800048828125,1.792,345096312.76193845,34.50963127619384,110.47599398965772,3336636.9576609745,0.33366369576609745,13.182198554583492,341759675.8042775,34.175967580427745
aoml/4903556/profiles/D4903556_057.nc,4903556,2024,3,20240317,27.427,-86.091,27.445838928222656,-86.0799560546875,2.361,2381628.543946667,0.2381628543946667,6.779424053952743,,,,,
aoml/4903232/profiles/D4903232_356.nc,4903232,2024,3,20240322,24.309,-96.117,24.278980255126953,-96.0799560546875,5.024,,,,,,,,
aoml/4903240/profiles/D4903240_353.nc,4903240,2024,3,20240322,25.303,-94.991,25.295774459838867,-94.9599609375,3.222,,,,,,,,
aoml/4903353/profiles/D4903353_223.nc,4903353,2024,3,20240322,28.614,-87.455,28.646100997924805,-87.43994140625,3.86,,,,,,,,
aoml/4903356/profiles/D4903356_216.nc,4903356,2024,3,20240322,28.226,-88.945,28.224010467529297,-88.9599609375,1.482,,,,,,,,
aoml/4903468/profiles/D4903468_109.nc,4903468,2024,3,20240322,27.458,-86.085,27.445838928222656,-86.0799560546875,1.441,,,,,,,,
aoml/4903471/profiles/D4903471_106.nc,4903471,2024,3,20240322,28.995,-87.644,28.996549606323242,-87.679931640625,3.499,,,,,,,,
aoml/4903472/profiles/R4903472_103.nc,4903472,2024,3,20240322,23.768,-83.055,23.767488479614258,-83.0400390625,1.524,,,,,,,,
aoml/4903546/profiles/D4903546_058.nc,4903546,2024,3,20240322,25.7,-92.41,25.72896957397461,-92.4000244140625,3.373,,,,,,,,
aoml/4903548/profiles/D4903548_058.nc,4903548,2024,3,20240322,26.885,-85.741,26.87641716003418,-85.760009765625,2.113,,,,,,,,
aoml/4903549/profiles/D4903549_058.nc,4903549,2024,3,20240322,25.945,-89.714,25.944978713989258,-89.679931640625,3.406,,,,,,,,
aoml/4903550/profiles/D4903550_058.nc,4903550,2024,3,20240322,25.478,-88.418,25.5125675201416,-88.4000244140625,4.246,,,,,,,,
aoml/4903551/profiles/D4903551_058.nc,4903551,2024,3,20240322,26.047,-85.237,26.01689338684082,-85.199951171875,4.991,,,,,,,,
aoml/4903552/profiles/D4903552_058.nc,4903552,2024,3,20240322,24.345,-83.921,24.351882934570312,-83.9200439453125,0.771,,,,,,,,
aoml/4903553/profiles/D4903553_058.nc,4903553,2024,3,20240322,23.285,-82.719,23.25398063659668,-82.719970703125,3.451,286126900.12809944,28.612690012809942,69.54632450632452,151961968.70645553,15.196196870645553,58.1372725555902,134164931.42164391,13.41649314216439
aoml/4903556/profiles/D4903556_058.nc,4903556,2024,3,20240322,27.517,-86.335,27.51681137084961,-86.320068359375,1.473,,,,,,,,
aoml/4903559/profiles/D4903559_034.nc,4903559,2024,3,20240322,20.035,-83.683,20.05732536315918,-83.679931640625,2.503,513980407.49524075,51.39804074952407,138.6264139872248,461080387.25118,46.108038725118,98.96512962900692,52900020.244060755,5.290002024406071
